,feature_name,rank,confirmed,tentative
36,Percent!!RACE!!One race!!Asian!!Filipino,131,False,False
37,Percent!!RACE!!One race!!Asian!!Japanese,47,False,False
38,Percent!!RACE!!One race!!Asian!!Korean,16,False,False
39,Percent!!RACE!!One race!!Asian!!Vietnamese,109,False,False
40,Percent!!RACE!!One race!!Asian!!Other Asian,87,False,False
41,Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander,278,False,False
42,Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,364,False,False
43,Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,360,False,False
44,Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,370,False,False
45,Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,370,False,False
46,Percent!!RACE!!One race!!Some other race,15,False,False
47,Percent!!RACE!!Two or more races!!White and Black or African American,99,False,False
48,Percent!!RACE!!Two or more races!!White and American Indian and Alaska Native,292,False,False
49,Percent!!RACE!!Two or more races!!White and Asian,148,False,False
50,Percent!!RACE!!Two or more races!!Black or African American and American Indian and Alaska Native,362,False,False
51,Percent!!RACE!!Race alone or in combination with one or more other races!!Total population,390,False,False
52,Percent!!RACE!!White,25,False,False
53,Percent!!RACE!!Black or African American,252,False,False
54,Percent!!RACE!!American Indian and Alaska Native,206,False,False
55,Percent!!RACE!!Asian,181,False,False
56,Percent!!RACE!!Native Hawaiian and Other Pacific Islander,141,False,False
57,Percent!!RACE!!Some other race,294,False,False
58,Percent!!HISPANIC OR LATINO AND RACE!!Total population,390,False,False
59,Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race),105,False,False
60,Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican,154,False,False
61,Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican,199,False,False
62,Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban,336,False,False
63,Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,5,False,False
64,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino,345,False,False
65,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone,191,False,False
66,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone,135,False,False
67,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone,258,False,False
68,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone,326,False,False
69,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,371,False,False
70,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone,220,False,False
71,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races,354,False,False
72,Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,178,False,False
73,"Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",346,False,False
74,Estimate!!Total housing units,280,False,False
75,Percent!!LANGUAGE SPOKEN AT HOME!!English only,51,False,False
76,Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English,18,False,False
77,"Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Speak English less than ""very well""",19,False,False
78,Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Spanish,1,True,False
79,"Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Spanish!!Speak English less than ""very well""",192,False,False
80,Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Other Indo-European languages,264,False,False
81,"Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Other Indo-European languages!!Speak English less than ""very well""",163,False,False
82,Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Asian and Pacific Islander languages,94,False,False
83,"Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Asian and Pacific Islander languages!!Speak English less than ""very well""",120,False,False
84,Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Other languages,267,False,False
85,"Percent!!LANGUAGE SPOKEN AT HOME!!Language other than English!!Other languages!!Speak English less than ""very well""",321,False,False
86,Estimate!!HOUSEHOLDS BY TYPE!!Total households,50,False,False
87,Percent!!HOUSEHOLDS BY TYPE!!Total households,390,False,False
88,Percent!!HOUSEHOLDS BY TYPE!!Family households (families),170,False,False
89,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,181,False,False
90,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,208,False,False
91,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,33,False,False
92,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family",294,False,False
93,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years",191,False,False
94,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family",312,False,False
95,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years",284,False,False
96,Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households,128,False,False
97,Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone,29,False,False
98,Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over,262,False,False
99,Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years,250,False,False
100,Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over,154,False,False
101,Estimate!!HOUSEHOLDS BY TYPE!!Average household size,1,True,False
102,Estimate!!HOUSEHOLDS BY TYPE!!Average family size,58,False,False
103,Percent!!RELATIONSHIP!!Population in households,290,False,False
104,Percent!!RELATIONSHIP!!Householder,272,False,False
105,Percent!!RELATIONSHIP!!Spouse,43,False,False
106,Percent!!RELATIONSHIP!!Child,1,True,False
107,Percent!!RELATIONSHIP!!Other relatives,1,True,False
108,Percent!!RELATIONSHIP!!Nonrelatives,142,False,False
109,Percent!!RELATIONSHIP!!Nonrelatives!!Unmarried partner,250,False,False
110,Percent!!MARITAL STATUS!!Males 15 years and over,314,False,False
111,Percent!!MARITAL STATUS!!Never married,146,False,False
112,"Percent!!MARITAL STATUS!!Now married, except separated",210,False,False
113,Percent!!MARITAL STATUS!!Separated,135,False,False
114,Percent!!MARITAL STATUS!!Widowed,117,False,False
115,Percent!!MARITAL STATUS!!Divorced,1,True,False
116,Percent!!MARITAL STATUS!!Females 15 years and over,320,False,False
117,Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,218,False,False
118,"Percent!!FERTILITY!!Unmarried women (widowed, divorced, and never married)",351,False,False
119,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,79,False,False
120,Percent!!GRANDPARENTS!!Responsible for grandchildren,357,False,False
121,Percent!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!Less than 1 year,337,False,False
122,Percent!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!1 or 2 years,1,True,False
123,Percent!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!3 or 4 years,246,False,False
124,Percent!!GRANDPARENTS!!Responsible for grandchildren!!Years responsible for grandchildren!!5 or more years,297,False,False
125,Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,112,False,False
126,Percent!!GRANDPARENTS!!Who are female,1,True,False
127,Percent!!GRANDPARENTS!!Who are married,317,False,False
128,Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,260,False,False
129,"Percent!!SCHOOL ENROLLMENT!!Nursery school, preschool",89,False,False
130,Percent!!SCHOOL ENROLLMENT!!Kindergarten,52,False,False
131,Percent!!SCHOOL ENROLLMENT!!Elementary school (grades 1-8),157,False,False
132,Percent!!SCHOOL ENROLLMENT!!High school (grades 9-12),36,False,False
133,Percent!!SCHOOL ENROLLMENT!!College or graduate school,136,False,False
134,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,339,False,False
135,Percent!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,222,False,False
136,"Percent!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",241,False,False
137,Percent!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),199,False,False
138,"Percent!!EDUCATIONAL ATTAINMENT!!Some college, no degree",53,False,False
139,Percent!!EDUCATIONAL ATTAINMENT!!Associate's degree,305,False,False
140,Percent!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,210,False,False
141,Percent!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree,167,False,False
142,Percent!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher,34,False,False
143,Percent!!EDUCATIONAL ATTAINMENT!!Percent bachelor's degree or higher,97,False,False
144,Percent!!VETERAN STATUS!!Civilian population 18 years and over,355,False,False
145,Percent!!VETERAN STATUS!!Civilian veterans,128,False,False
146,Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,350,False,False
147,Percent!!RESIDENCE 1 YEAR AGO!!Same house,278,False,False
148,Percent!!RESIDENCE 1 YEAR AGO!!Different house in the U.S.,302,False,False
149,Percent!!RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Same county,225,False,False
150,Percent!!RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Different county,234,False,False
151,Percent!!RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Different county!!Same state,197,False,False
152,Percent!!RESIDENCE 1 YEAR AGO!!Different house in the U.S.!!Different county!!Different state,95,False,False
153,Percent!!RESIDENCE 1 YEAR AGO!!Abroad,165,False,False
154,Percent!!PLACE OF BIRTH!!Total population,390,False,False
155,Percent!!PLACE OF BIRTH!!Native,189,False,False
156,Percent!!PLACE OF BIRTH!!Native!!Born in United States,260,False,False
157,Percent!!PLACE OF BIRTH!!Native!!Born in United States!!State of residence,202,False,False
158,Percent!!PLACE OF BIRTH!!Native!!Born in United States!!Different state,274,False,False
159,"Percent!!PLACE OF BIRTH!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",187,False,False
160,Percent!!PLACE OF BIRTH!!Foreign born,151,False,False
161,Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population,157,False,False
162,Percent!!U.S. CITIZENSHIP STATUS!!Naturalized U.S. citizen,22,False,False
163,Percent!!U.S. CITIZENSHIP STATUS!!Not a U.S. citizen,275,False,False
164,Percent!!YEAR OF ENTRY!!Population born outside the United States,182,False,False
165,Percent!!YEAR OF ENTRY!!Native,316,False,False
166,Percent!!YEAR OF ENTRY!!Entered 2000 or later,335,False,False
167,Percent!!YEAR OF ENTRY!!Entered before 2000,216,False,False
168,Percent!!YEAR OF ENTRY!!Foreign born,390,False,False
169,"Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea",390,False,False
170,Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Europe,195,False,False
171,Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Asia,243,False,False
172,Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Africa,256,False,False
173,Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Oceania,243,False,False
174,Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Latin America,305,False,False
175,Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Northern America,356,False,False
176,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over,365,False,False
177,Percent!!HOUSING OCCUPANCY!!Total housing units,390,False,False
178,Percent!!HOUSING OCCUPANCY!!Occupied housing units,100,False,False
179,Percent!!HOUSING OCCUPANCY!!Vacant housing units,361,False,False
180,Percent!!UNITS IN STRUCTURE!!Total housing units,390,False,False
181,"Percent!!UNITS IN STRUCTURE!!1-unit, detached",230,False,False
182,"Percent!!UNITS IN STRUCTURE!!1-unit, attached",1,True,False
183,Percent!!UNITS IN STRUCTURE!!2 units,84,False,False
184,Percent!!UNITS IN STRUCTURE!!3 or 4 units,128,False,False
185,Percent!!UNITS IN STRUCTURE!!5 to 9 units,250,False,False
186,Percent!!UNITS IN STRUCTURE!!10 to 19 units,231,False,False
187,Percent!!UNITS IN STRUCTURE!!20 or more units,118,False,False
188,Percent!!UNITS IN STRUCTURE!!Mobile home,109,False,False
189,"Percent!!UNITS IN STRUCTURE!!Boat, RV, van, etc.",308,False,False
190,Estimate!!YEAR STRUCTURE BUILT!!Total housing units,390,False,False
191,Percent!!YEAR STRUCTURE BUILT!!Total housing units,390,False,False
192,Percent!!YEAR STRUCTURE BUILT!!Built 2005 or later,80,False,False
193,Percent!!YEAR STRUCTURE BUILT!!Built 2000 to 2004,40,False,False
194,Percent!!YEAR STRUCTURE BUILT!!Built 1990 to 1999,1,True,False
195,Percent!!YEAR STRUCTURE BUILT!!Built 1980 to 1989,68,False,False
196,Percent!!YEAR STRUCTURE BUILT!!Built 1970 to 1979,228,False,False
197,Percent!!YEAR STRUCTURE BUILT!!Built 1960 to 1969,3,False,False
198,Percent!!YEAR STRUCTURE BUILT!!Built 1950 to 1959,57,False,False
199,Percent!!YEAR STRUCTURE BUILT!!Built 1940 to 1949,1,True,False
200,Percent!!YEAR STRUCTURE BUILT!!Built 1939 or earlier,86,False,False
201,Percent!!ROOMS!!Total housing units,390,False,False
202,Percent!!ROOMS!!1 room,105,False,False
203,Percent!!ROOMS!!2 rooms,94,False,False
204,Percent!!ROOMS!!3 rooms,194,False,False
205,Percent!!ROOMS!!4 rooms,162,False,False
206,Percent!!ROOMS!!5 rooms,203,False,False
207,Percent!!ROOMS!!6 rooms,225,False,False
208,Percent!!ROOMS!!7 rooms,130,False,False
209,Percent!!ROOMS!!8 rooms,1,True,False
210,Percent!!ROOMS!!9 rooms or more,214,False,False
211,Percent!!BEDROOMS!!Total housing units,390,False,False
212,Percent!!BEDROOMS!!No bedroom,227,False,False
213,Percent!!BEDROOMS!!1 bedroom,266,False,False
214,Percent!!BEDROOMS!!2 bedrooms,59,False,False
215,Percent!!BEDROOMS!!3 bedrooms,208,False,False
216,Percent!!BEDROOMS!!4 bedrooms,216,False,False
217,Percent!!BEDROOMS!!5 or more bedrooms,102,False,False
218,Percent!!HOUSING TENURE!!Occupied housing units,390,False,False
219,Percent!!HOUSING TENURE!!Owner-occupied,2,False,True
220,Percent!!HOUSING TENURE!!Renter-occupied,102,False,False
221,Estimate!!HOUSING TENURE!!Average household size of owner-occupied unit,274,False,False
222,Estimate!!HOUSING TENURE!!Average household size of renter-occupied unit,28,False,False
223,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units,390,False,False
224,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2005 or later,225,False,False
225,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2004,295,False,False
226,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999,218,False,False
227,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989,9,False,False
228,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979,144,False,False
229,Percent!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier,334,False,False
230,Estimate!!VEHICLES AVAILABLE!!Occupied housing units,390,False,False
231,Percent!!VEHICLES AVAILABLE!!Occupied housing units,390,False,False
232,Percent!!VEHICLES AVAILABLE!!No vehicles available,254,False,False
233,Percent!!VEHICLES AVAILABLE!!1 vehicle available,199,False,False
234,Percent!!VEHICLES AVAILABLE!!2 vehicles available,222,False,False
235,Percent!!VEHICLES AVAILABLE!!3 or more vehicles available,342,False,False
236,Percent!!HOUSE HEATING FUEL!!Occupied housing units,390,False,False
237,Percent!!HOUSE HEATING FUEL!!Utility gas,232,False,False
238,"Percent!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas",90,False,False
239,Percent!!HOUSE HEATING FUEL!!Electricity,84,False,False
240,"Percent!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.",89,False,False
241,Percent!!HOUSE HEATING FUEL!!Coal or coke,78,False,False
242,Percent!!HOUSE HEATING FUEL!!Wood,349,False,False
243,Percent!!HOUSE HEATING FUEL!!Solar energy,310,False,False
244,Percent!!HOUSE HEATING FUEL!!Other fuel,161,False,False
245,Percent!!HOUSE HEATING FUEL!!No fuel used,1,True,False
246,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units,390,False,False
247,Percent!!SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities,265,False,False
248,Percent!!SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities,149,False,False
249,Percent!!SELECTED CHARACTERISTICS!!No telephone service available,152,False,False
250,Percent!!OCCUPANTS PER ROOM!!Occupied housing units,390,False,False
251,Percent!!OCCUPANTS PER ROOM!!1.00 or less,1,True,False
252,Percent!!OCCUPANTS PER ROOM!!1.01 to 1.50,17,False,False
253,Percent!!OCCUPANTS PER ROOM!!1.51 or more,13,False,False
254,Estimate!!VALUE!!Owner-occupied units,115,False,False
255,Percent!!VALUE!!Owner-occupied units,390,False,False
256,"Percent!!VALUE!!Less than $50,000",38,False,False
257,"Percent!!VALUE!!$50,000 to $99,999",171,False,False
258,"Percent!!VALUE!!$100,000 to $149,999",71,False,False
259,"Percent!!VALUE!!$150,000 to $199,999",237,False,False
260,"Percent!!VALUE!!$200,000 to $299,999",15,False,False
261,"Percent!!VALUE!!$300,000 to $499,999",138,False,False
262,"Percent!!VALUE!!$500,000 to $999,999",66,False,False
263,"Percent!!VALUE!!$1,000,000 or more",103,False,False
264,Estimate!!VALUE!!Median (dollars),160,False,False
265,Estimate!!MORTGAGE STATUS!!Owner-occupied units,390,False,False
266,Percent!!MORTGAGE STATUS!!Owner-occupied units,390,False,False
267,Percent!!MORTGAGE STATUS!!Housing units with a mortgage,24,False,False
268,Percent!!MORTGAGE STATUS!!Housing units without a mortgage,234,False,False
269,Estimate!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage,282,False,False
270,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage,390,False,False
271,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Less than $300,347,False,False
272,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$300 to $499,105,False,False
273,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$500 to $699,309,False,False
274,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$700 to $999,66,False,False
275,"Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$1,000 to $1,499",137,False,False
276,"Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$1,500 to $1,999",74,False,False
277,"Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$2,000 or more",202,False,False
278,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage,33,False,False
279,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!Less than $100,353,False,False
280,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$100 to $199,334,False,False
281,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$200 to $299,340,False,False
282,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$300 to $399,330,False,False
283,Percent!!SELECTED MONTHLY OWNER COSTS (SMOC)!!$400 or more,296,False,False
284,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),367,False,False
285,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),390,False,False
286,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 20.0 percent,177,False,False
287,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 20.0 percent,42,False,False
288,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!20.0 to 24.9 percent,307,False,False
289,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!20.0 to 24.9 percent,183,False,False
290,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!25.0 to 29.9 percent,57,False,False
291,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!25.0 to 29.9 percent,213,False,False
292,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!30.0 to 34.9 percent,69,False,False
293,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!30.0 to 34.9 percent,8,False,False
294,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!35.0 percent or more,316,False,False
295,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!35.0 percent or more,185,False,False
296,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed,324,False,False
297,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),248,False,False
298,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),390,False,False
299,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 10.0 percent,313,False,False
300,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 10.0 percent,289,False,False
301,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!10.0 to 14.9 percent,301,False,False
302,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!10.0 to 14.9 percent,358,False,False
303,Estimate!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!15.0 to 19.9 percent,122,False,False
304,Percent!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!15.0 to 19.9 percent,179,False,False
305,Estimate!!GROSS RENT!!Occupied units paying rent,205,False,False
306,Percent!!GROSS RENT!!Occupied units paying rent,390,False,False
307,Percent!!GROSS RENT!!Less than $200,172,False,False
308,Percent!!GROSS RENT!!$200 to $299,55,False,False
309,Percent!!GROSS RENT!!$300 to $499,1,True,False
310,Percent!!GROSS RENT!!$500 to $749,270,False,False
311,Percent!!GROSS RENT!!$750 to $999,77,False,False
312,"Percent!!GROSS RENT!!$1,000 to $1,499",243,False,False
313,"Percent!!GROSS RENT!!$1,500 or more",348,False,False
314,Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed),319,False,False
315,Percent!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed),390,False,False
316,Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Less than 15.0 percent,245,False,False
317,Percent!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Less than 15.0 percent,281,False,False
318,Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!15.0 to 19.9 percent,151,False,False
319,Percent!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!15.0 to 19.9 percent,210,False,False
320,Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!20.0 to 24.9 percent,107,False,False
321,Percent!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!20.0 to 24.9 percent,50,False,False
322,Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!25.0 to 29.9 percent,22,False,False
323,Percent!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!25.0 to 29.9 percent,223,False,False
324,Estimate!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!30.0 to 34.9 percent,270,False,False
